,model,k,mutations,kept,lost
154,CNN_onehot_pretrained,1,14,0.3746569156646729,0.16615431010723114
155,CNN_onehot_pretrained,1,15,0.31567302346229553,0.11830101907253265
156,CNN_onehot_pretrained,1,16,0.2471623420715332,0.08155442774295807
157,CNN_onehot_pretrained,1,17,0.200582042336464,0.04948601126670837
158,CNN_onehot_pretrained,1,18,0.151174396276474,0.0322391577064991
159,CNN_onehot_pretrained,1,19,0.11570732295513153,0.01968970336019993
160,CNN_matrix,1,0,0.8585080504417419,0.8585080504417419
161,CNN_matrix,1,1,0.8531399369239807,0.8535526394844055
162,CNN_matrix,1,2,0.8433455228805542,0.841192364692688
163,CNN_matrix,1,3,0.8297078013420105,0.8281697630882263
164,CNN_matrix,1,4,0.8042877316474915,0.8030117750167847
165,CNN_matrix,1,5,0.777948260307312,0.7715188264846802
166,CNN_matrix,1,6,0.7487902641296387,0.7270517945289612
167,CNN_matrix,1,7,0.7053607702255249,0.680307924747467
168,CNN_matrix,1,8,0.6589409708976746,0.6266385316848755
169,CNN_matrix,1,9,0.6089030504226685,0.5669506788253784
170,CNN_matrix,1,10,0.5569807291030884,0.4973706901073456
171,CNN_matrix,1,11,0.5096181631088257,0.41816189885139465
172,CNN_matrix,1,12,0.4737294316291809,0.3608799874782562
173,CNN_matrix,1,13,0.4165645241737366,0.30415791273117065
174,CNN_matrix,1,14,0.3748075067996979,0.2432629764080048
175,CNN_matrix,1,15,0.3266861140727997,0.19483599066734314
176,CNN_matrix,1,16,0.2941378653049469,0.15888002514839172
177,CNN_matrix,1,17,0.2545889616012573,0.11938680708408354
178,CNN_matrix,1,18,0.2237284481525421,0.09549069404602052
179,CNN_matrix,1,19,0.19964729249477384,0.07177165895700455
180,CNN_matrix_pretrained,1,0,0.9945230484008788,0.9945230484008788
181,CNN_matrix_pretrained,1,1,0.9928149580955504,0.9819530248641968
182,CNN_matrix_pretrained,1,2,0.9872650504112244,0.9190560579299928
183,CNN_matrix_pretrained,1,3,0.9817417860031128,0.7890392541885376
184,CNN_matrix_pretrained,1,4,0.9683908820152284,0.6127129793167114
185,CNN_matrix_pretrained,1,5,0.9624199867248536,0.4353579878807068
186,CNN_matrix_pretrained,1,6,0.9565195441246032,0.29265668988227844
187,CNN_matrix_pretrained,1,7,0.943228542804718,0.1859682649374008
188,CNN_matrix_pretrained,1,8,0.9376281499862672,0.11141210794448853
189,CNN_matrix_pretrained,1,9,0.9196398258209229,0.06711501628160478
190,CNN_matrix_pretrained,1,10,0.9153745174407959,0.03629614785313606
191,CNN_matrix_pretrained,1,11,0.9056702256202698,0.02228209562599659
192,CNN_matrix_pretrained,1,12,0.8957518935203552,0.01655392535030842
193,CNN_matrix_pretrained,1,13,0.8800771832466125,0.010242665186524393
194,CNN_matrix_pretrained,1,14,0.8750938773155212,0.004498526453971864
195,CNN_matrix_pretrained,1,15,0.8595821261405945,0.0041129915043711645
196,CNN_matrix_pretrained,1,16,0.8571489453315735,0.003011587541550398
197,CNN_matrix_pretrained,1,17,0.8459107279777527,0.0023505301214754573
198,CNN_matrix_pretrained,1,18,0.8345785737037659,0.0023779908660799265
199,CNN_matrix_pretrained,1,19,0.8344192504882812,0.0013820804888382554
200,LSTM_onehot,1,0,0.9745981693267822,0.9745981693267822
201,LSTM_onehot,1,1,0.9581546783447266,0.9618845582008362
202,LSTM_onehot,1,2,0.9338160157203674,0.9372544884681702
203,LSTM_onehot,1,3,0.9129093885421752,0.914807677268982
204,LSTM_onehot,1,4,0.8823063969612122,0.882167398929596
205,LSTM_onehot,1,5,0.8345010280609131,0.8420280814170837
206,LSTM_onehot,1,6,0.7903820872306824,0.8027682304382324
207,LSTM_onehot,1,7,0.7342302203178406,0.7450641393661499
208,LSTM_onehot,1,8,0.6801415681838989,0.694685161113739
209,LSTM_onehot,1,9,0.6178509593009949,0.6236449480056763
210,LSTM_onehot,1,10,0.554654061794281,0.561985194683075
211,LSTM_onehot,1,11,0.4789164662361145,0.4895937144756317
212,LSTM_onehot,1,12,0.42037391662597656,0.4271922111511231
213,LSTM_onehot,1,13,0.3645197153091431,0.3641788363456726
214,LSTM_onehot,1,14,0.3189742863178253,0.30067482590675354
215,LSTM_onehot,1,15,0.2568224370479584,0.2417239695787429
216,LSTM_onehot,1,16,0.21212440729141235,0.19142408668994906
217,LSTM_onehot,1,17,0.1674201488494873,0.14846985042095184
218,LSTM_onehot,1,18,0.13093148171901706,0.10788183659315108
219,LSTM_onehot,1,19,0.1059572696685791,0.07664310932159424
220,LSTM_onehot_pretrained,1,0,0.9905467629432678,0.9905467629432678
