,model,k,mutations,kept,lost
244,CNN_matrix,4,4,0.9469472434738441,0.7448716692306654
245,CNN_matrix,5,4,0.8837969490764145,0.686617402964858
246,CNN_matrix,6,4,0.8127994043977707,0.7717897751078611
247,CNN_matrix,7,4,0.8886950269430965,0.8301018458844216
248,CNN_matrix,8,4,0.8745271976029843,0.6806736332613051
249,CNN_matrix,9,4,0.8678319411950132,0.7046630322586936
250,CNN_matrix,0,5,0.8559723485071908,0.7251046849513139
251,CNN_matrix,1,5,0.9054075789614202,0.7144071868203421
252,CNN_matrix,2,5,0.9264906867594892,0.6869422863631581
253,CNN_matrix,3,5,0.910761290808101,0.6177816133132711
254,CNN_matrix,4,5,0.9573869827572328,0.6829814993482375
255,CNN_matrix,5,5,0.8958184566505838,0.6317507144171453
256,CNN_matrix,6,5,0.8386254225928621,0.7803049913297097
257,CNN_matrix,7,5,0.8991336714841571,0.8193367869708857
258,CNN_matrix,8,5,0.8942009157109659,0.6592140632212438
259,CNN_matrix,9,5,0.9015262073177532,0.6997107295731512
260,CNN_matrix,0,6,0.8697240084377874,0.7113001554806391
261,CNN_matrix,1,6,0.9159871338392483,0.6779468930958978
262,CNN_matrix,2,6,0.9321859158190288,0.6339316815317395
263,CNN_matrix,3,6,0.9192030872462524,0.591998213512202
264,CNN_matrix,4,6,0.9703982543566416,0.6608146977816851
265,CNN_matrix,5,6,0.9007447222173134,0.5941595969028223
266,CNN_matrix,6,6,0.8341478544654268,0.7709035082603299
267,CNN_matrix,7,6,0.8981946067930313,0.7992903460771368
268,CNN_matrix,8,6,0.8856985455448739,0.6248522801181147
269,CNN_matrix,9,6,0.9104079880662418,0.6567196326942455
270,CNN_matrix,0,7,0.8576398148999682,0.6859285392248559
271,CNN_matrix,1,7,0.9297919277031657,0.6566375319357781
272,CNN_matrix,2,7,0.933493433929566,0.5972651221408612
273,CNN_matrix,3,7,0.9068090311919276,0.5704111158038445
274,CNN_matrix,4,7,0.9517978935427076,0.5774077933182984
275,CNN_matrix,5,7,0.9180652860056294,0.5553574978259267
276,CNN_matrix,6,7,0.8379033748746215,0.7561288108798995
277,CNN_matrix,7,7,0.8807579625273744,0.7639206104981713
278,CNN_matrix,8,7,0.8861524973087488,0.5804956090883078
279,CNN_matrix,9,7,0.9111973573960924,0.6346083015367441
280,CNN_matrix,0,8,0.8761323015998911,0.6471216117949398
281,CNN_matrix,1,8,0.9206163518955172,0.5754440929616491
282,CNN_matrix,2,8,0.9376939542567692,0.5135282147293672
283,CNN_matrix,3,8,0.8797808198086816,0.4791044577355172
284,CNN_matrix,4,8,0.9702892004080332,0.5334427963064956
285,CNN_matrix,5,8,0.9226595093829704,0.5024363714212499
286,CNN_matrix,6,8,0.834518283398615,0.7151184940891754
287,CNN_matrix,7,8,0.8828667473374752,0.7346337048249723
288,CNN_matrix,8,8,0.9068334810678724,0.5586905311745848
289,CNN_matrix,9,8,0.916594218056433,0.6027174085103637
290,CNN_matrix,0,9,0.8702399778618723,0.5921626797288485
291,CNN_matrix,1,9,0.8990796371443699,0.5254498017954831
292,CNN_matrix,2,9,0.9503794320203639,0.4435061389701096
293,CNN_matrix,3,9,0.836888618406374,0.41285762356354905
294,CNN_matrix,4,9,0.9718364473474091,0.4328859913297212
295,CNN_matrix,5,9,0.9424991118578384,0.5583627604342137
296,CNN_matrix,6,9,0.7796194392740726,0.6470294498354197
297,CNN_matrix,7,9,0.8466111953661899,0.6638208088982437
298,CNN_matrix,8,9,0.8828090279570057,0.4737310666332229
299,CNN_matrix,9,9,0.9240139112745722,0.5720794908891742
300,CNN_matrix_pretrained,0,0,0.9780282399727293,0.9780282374090884
301,CNN_matrix_pretrained,1,0,0.972721600461574,0.9727215997519948
302,CNN_matrix_pretrained,2,0,0.9678971605037576,0.9678971605037576
303,CNN_matrix_pretrained,3,0,0.9392857605611884,0.9392857605611884
304,CNN_matrix_pretrained,4,0,0.9556655181210212,0.9556655181210212
305,CNN_matrix_pretrained,5,0,0.9437635987794594,0.9437635987794594
306,CNN_matrix_pretrained,6,0,0.9369621796293124,0.9369621789884024
307,CNN_matrix_pretrained,7,0,0.9687955529816384,0.9687955519266888
308,CNN_matrix_pretrained,8,0,0.9597390770084328,0.9597390776105
309,CNN_matrix_pretrained,9,0,0.9620057468747965,0.9620057468747965
310,CNN_matrix_pretrained,0,1,0.9756671575425481,0.940669211102683
311,CNN_matrix_pretrained,1,1,0.9702725812733648,0.9202801486122466
312,CNN_matrix_pretrained,2,1,0.9654184038963874,0.9243340549421392
313,CNN_matrix_pretrained,3,1,0.9355278476721338,0.8706650214442034
314,CNN_matrix_pretrained,4,1,0.9506046216694658,0.8745250113460348
315,CNN_matrix_pretrained,5,1,0.9430288635403512,0.8958680651704038
316,CNN_matrix_pretrained,6,1,0.9333434494178888,0.8630373962909504
317,CNN_matrix_pretrained,7,1,0.9695582512645244,0.903945893644847
318,CNN_matrix_pretrained,8,1,0.9540022261077004,0.8628221706129761
319,CNN_matrix_pretrained,9,1,0.9581098496214574,0.9066076453771372
320,CNN_matrix_pretrained,0,2,0.972351706209242,0.8015057777960894
321,CNN_matrix_pretrained,1,2,0.9666733738714977,0.7990115865551319
322,CNN_matrix_pretrained,2,2,0.9647438933238924,0.7829223192319749
323,CNN_matrix_pretrained,3,2,0.9324416394133952,0.6893323933118921
324,CNN_matrix_pretrained,4,2,0.9486881927859552,0.7067446918756014
325,CNN_matrix_pretrained,5,2,0.9417541511086882,0.7446946075343042
326,CNN_matrix_pretrained,6,2,0.9260836920717658,0.7285484767051608
327,CNN_matrix_pretrained,7,2,0.9704442352671891,0.756958162011771
328,CNN_matrix_pretrained,8,2,0.9520475012021332,0.6909882769402529
329,CNN_matrix_pretrained,9,2,0.9500349582723794,0.7837462053074084
330,CNN_matrix_pretrained,0,3,0.9703126359157318,0.5797986583750478
331,CNN_matrix_pretrained,1,3,0.9629676652855303,0.6117427221119748
332,CNN_matrix_pretrained,2,3,0.9584366093426944,0.5432429917387974
333,CNN_matrix_pretrained,3,3,0.9280681284868882,0.4391584760824184
334,CNN_matrix_pretrained,4,3,0.9432258852724132,0.4793856039715891
335,CNN_matrix_pretrained,5,3,0.93708555589538,0.5162298923658639
336,CNN_matrix_pretrained,6,3,0.9278304557264264,0.5465039867705809
337,CNN_matrix_pretrained,7,3,0.9640259701747634,0.5551683886094805
338,CNN_matrix_pretrained,8,3,0.9488944070432525,0.4685240174593523
339,CNN_matrix_pretrained,9,3,0.9452726886538532,0.5922146945989326
340,CNN_matrix_pretrained,0,4,0.9710993340343572,0.3765372854348774
341,CNN_matrix_pretrained,1,4,0.9585556714889036,0.43076422404522174
342,CNN_matrix_pretrained,2,4,0.9562535313105442,0.3471186743263682
343,CNN_matrix_pretrained,3,4,0.9265043729002332,0.2642742292037276
344,CNN_matrix_pretrained,4,4,0.9472662988214348,0.27974881353837544
345,CNN_matrix_pretrained,5,4,0.9450432810007974,0.31594751208123784
346,CNN_matrix_pretrained,6,4,0.9214174275583292,0.375976965276886
347,CNN_matrix_pretrained,7,4,0.962857193342066,0.3701793693593359
348,CNN_matrix_pretrained,8,4,0.9447851704965744,0.3093245987151591
349,CNN_matrix_pretrained,9,4,0.9480231128490596,0.4118823888128702
350,CNN_matrix_pretrained,0,5,0.966313427000314,0.2709545931964356
351,CNN_matrix_pretrained,1,5,0.959025314822793,0.3148360793456072
352,CNN_matrix_pretrained,2,5,0.9727056049786154,0.25203923190254784
353,CNN_matrix_pretrained,3,5,0.9395888965697614,0.14300216102451396
354,CNN_matrix_pretrained,4,5,0.9581656056920104,0.15490737616166692
355,CNN_matrix_pretrained,5,5,0.9537093309050098,0.2089826826689144
356,CNN_matrix_pretrained,6,5,0.9645205448370382,0.2773703933010873
357,CNN_matrix_pretrained,7,5,0.9745832168503232,0.2587420196891793
358,CNN_matrix_pretrained,8,5,0.9636426776012889,0.2276380830208116
359,CNN_matrix_pretrained,9,5,0.980218107278444,0.30124131164925605
360,CNN_matrix_pretrained,0,6,0.9805800444995746,0.21173604842271398
361,CNN_matrix_pretrained,1,6,0.9598875834147306,0.23427662406622785
362,CNN_matrix_pretrained,2,6,0.9763428607110278,0.18069648367809094
363,CNN_matrix_pretrained,3,6,0.945545231314169,0.08739257049012103
364,CNN_matrix_pretrained,4,6,0.9792998764297772,0.13790966393853912
365,CNN_matrix_pretrained,5,6,0.9581171918692656,0.16114863596657025
366,CNN_matrix_pretrained,6,6,0.963022104181446,0.2242356525383309
367,CNN_matrix_pretrained,7,6,0.9755942495350252,0.18809604252280115
368,CNN_matrix_pretrained,8,6,0.958820114834234,0.17382409617110775
369,CNN_matrix_pretrained,9,6,0.9884292280798156,0.2461964009756533
370,CNN_matrix_pretrained,0,7,0.9773732516169548,0.17223807797478954
371,CNN_matrix_pretrained,1,7,0.9812340940999728,0.21483543671952984
372,CNN_matrix_pretrained,2,7,0.9730861037870248,0.15247423564870324
373,CNN_matrix_pretrained,3,7,0.9510984112907732,0.09376907139035956
374,CNN_matrix_pretrained,4,7,0.9688686609410104,0.1029549629692476
375,CNN_matrix_pretrained,5,7,0.9732314117160158,0.13244079250983656
376,CNN_matrix_pretrained,6,7,0.9676292424104108,0.18707105628856507
377,CNN_matrix_pretrained,7,7,0.9808522482713063,0.1660483637844057
378,CNN_matrix_pretrained,8,7,0.972082854171886,0.14985907876603854
379,CNN_matrix_pretrained,9,7,0.9897750602641576,0.2133996894814844
380,CNN_matrix_pretrained,0,8,0.9856645144356622,0.1711435711366573
381,CNN_matrix_pretrained,1,8,0.9770278925145114,0.18141351320504867
382,CNN_matrix_pretrained,2,8,0.9812825382997592,0.11830612839175722
383,CNN_matrix_pretrained,3,8,0.9534146808759244,0.07662082424246554
384,CNN_matrix_pretrained,4,8,0.979268651574418,0.09687501559324184
385,CNN_matrix_pretrained,5,8,0.967037584254822,0.11137791362670348
386,CNN_matrix_pretrained,6,8,0.9759277677525664,0.15402733414294845
387,CNN_matrix_pretrained,7,8,0.9815178146836352,0.15348931770112734
388,CNN_matrix_pretrained,8,8,0.9804066309678382,0.1314518846689548
389,CNN_matrix_pretrained,9,8,0.9908997131214624,0.17737272644518415
390,CNN_matrix_pretrained,0,9,0.985148800173025,0.12292138949229285
391,CNN_matrix_pretrained,1,9,0.9816710465229476,0.14142431004169898
392,CNN_matrix_pretrained,2,9,0.9798123686034004,0.08574556869190232
393,CNN_matrix_pretrained,3,9,0.935326195131832,0.04659918992903032
394,CNN_matrix_pretrained,4,9,0.9821107902970071,0.0795731170508915
395,CNN_matrix_pretrained,5,9,0.9735468144218128,0.16199557522598368
396,CNN_matrix_pretrained,6,9,0.955951261550188,0.13099675441533326
